File,D,GS Overlap,GS Energy,HF Energy,DMRG2 Energy
B_STO-3G_DOUBLET_JW.json, 32, 0.0, -24.18926491710038, -24.148988598853634, -23.85729831972137
H4_STO-3G_SINGLET_JW.json, 32, 0.0, -1.8743019741837175, -1.333349777097312, -1.8451381802165394
HeH+_3-21G_SINGLET_JW.json, 32, 0.6576904134368607, -3.172816973577111, -2.8874377987654425, -3.1451056801097534
H4_STO-3G_SINGLET_BK.json, 32, 0.00012661542404421525, -1.8743019741837144, -1.333349777097312, -1.8564004636926001
B+_STO-3G_SINGLET_JW.json, 64, 0.13441765863480984, -24.18926491710064, -23.948470366408024, -24.148983461575614
C_STO-3G_TRIPLET_BK.json, 64, 0.3898963000613053, -37.21873355063686, -37.198392563731566, -37.1981956939176
C_STO-3G_TRIPLET_JW.json, 64, 0.21154844654589353, -37.21873355063674, -37.198392563731566, -37.198390582299695
O_STO-3G_TRIPLET_JW.json, 64, 0.019901917107204216, -73.80415023325855, -73.80415023325587, -73.80367249254283
Be_STO-3G_SINGLET_JW.json, 64, 0.0, -14.403655108067664, -14.351880476202012, -14.286351376362346
N_STO-3G_QUARTET_BK.json, 64, 0.4333759469502448, -53.7190101625952, -53.71901016259394, -53.71895866443951
Li_STO-3G_DOUBLET_BK.json, 64, 0.7103039263948491, -7.315836552850702, -7.315525981281089, -7.315525947321753
H2_6-31G_SINGLET_BK.json, 64, 0.992589059188107, -1.1516894969527676, -1.1265505333266992, -1.1265320936941563
Be_STO-3G_SINGLET_BK.json, 64, 0.0, -14.403655108067644, -14.351880476202012, -14.286352508086022
HeH+_3-21G_SINGLET_BK.json, 64, 0.7309923498654521, -3.172816973577112, -2.8874377987654416, -3.1478406876307212
H2_6-31G_SINGLET_JW.json, 64, 0.992259884112805, -1.1516894969527591, -1.1265505333266996, -1.1252073494644521
N_STO-3G_QUARTET_JW.json, 64, 0.22070484075152258, -53.7190101625946, -53.71901016259394, -53.71899978700867
B+_STO-3G_SINGLET_BK.json, 64, 0.0941474784302437, -24.189264917100665, -23.948470366408024, -24.148988567901114
B_STO-3G_DOUBLET_BK.json, 64, 0.4133687063876014, -24.189264917100722, -24.148988598853634, -24.148987844571035
H3+_STO-3G_SINGLET_JW.json, 64, 0.4525253089568901, -1.3609986808737116, -1.2463419007866505, -1.360998673312353
Li_STO-3G_DOUBLET_JW.json, 64, 0.0, -7.31583655285071, -7.315525981281089, -7.2300920517822975
H2_3-21G_SINGLET_BK.json, 64, 0.9925853911351458, -1.1478774014540065, -1.1227992820505093, -1.1227832587728044
H2_3-21G_SINGLET_JW.json, 64, 0.9922739308029911, -1.1478774014540063, -1.1227992820505093, -1.1214471103584451
H3+_STO-3G_SINGLET_BK.json, 64, 0.9999999999999949, -1.3609986808736951, -1.2463419007866505, -1.3609986808737091
B_STO-3G_DOUBLET_JW.json, 64, 0.426559467376665, -24.189264917100445, -24.148988598853634, -24.14898802848989
H4_STO-3G_SINGLET_JW.json, 64, 0.042567943358481804, -1.874301974183721, -1.333349777097312, -1.855827399272494
HeH+_3-21G_SINGLET_JW.json, 64, 0.886622418046741, -3.172816973577113, -2.8874377987654425, -3.147881559248944
H4_STO-3G_SINGLET_BK.json, 64, 0.04255289704817537, -1.8743019741837212, -1.333349777097312, -1.855827517194656
B+_STO-3G_SINGLET_JW.json, 128, 0.5870353798331993, -24.18926491710058, -23.948470366408024, -24.188995991090987
C_STO-3G_TRIPLET_BK.json, 128, 0.1053878306455588, -37.21873355063698, -37.198392563731566, -37.218670017375246
C_STO-3G_TRIPLET_JW.json, 128, 0.2538829725438046, -37.21873355063686, -37.198392563731566, -37.216465935498974
O_STO-3G_TRIPLET_JW.json, 128, 0.08562720700022969, -73.80415023325914, -73.80415023325587, -73.80336357279184
Be_STO-3G_SINGLET_JW.json, 128, 0.0, -14.403655108067676, -14.351880476202012, -14.286240483795558
N_STO-3G_QUARTET_BK.json, 128, 0.23487170530115747, -53.719010162594735, -53.71901016259394, -53.718748790613695
Li_STO-3G_DOUBLET_BK.json, 128, 0.732175605612369, -7.3158365528507145, -7.315525981281089, -7.315652799492257
H2_6-31G_SINGLET_BK.json, 128, 0.9932802669540356, -1.1516894969527647, -1.1265505333266992, -1.1318453600895748
Be_STO-3G_SINGLET_BK.json, 128, 0.0, -14.40365510806762, -14.351880476202012, -14.286516646413917
HeH+_3-21G_SINGLET_BK.json, 128, 0.8721419809214644, -3.1728169735771115, -2.8874377987654416, -3.1413764890715137
H2_6-31G_SINGLET_JW.json, 128, 0.992575364147717, -1.1516894969527633, -1.1265505333266996, -1.1263586238197603
N_STO-3G_QUARTET_JW.json, 128, 0.41613561896992246, -53.71901016259471, -53.71901016259394, -53.71843022876093
B+_STO-3G_SINGLET_BK.json, 128, 0.3128727985088401, -24.189264917100694, -23.948470366408024, -24.189162445579548
B_STO-3G_DOUBLET_BK.json, 128, 0.47923221545727235, -24.18926491710068, -24.148988598853634, -24.18914224149958
H3+_STO-3G_SINGLET_JW.json, 128, 0.3101400356471226, -1.3609986808736363, -1.2463419007866505, -1.360998672285727
Li_STO-3G_DOUBLET_JW.json, 128, 0.48861404038083833, -7.3158365528506515, -7.315525981281089, -7.315723488068631
H2_3-21G_SINGLET_BK.json, 128, 0.9930722424983639, -1.1478774014540072, -1.1227992820505093, -1.1271683617898767
H2_3-21G_SINGLET_JW.json, 128, 0.9925608929394856, -1.1478774014540056, -1.1227992820505093, -1.1225846275500817
H3+_STO-3G_SINGLET_BK.json, 128, 0.999999999999952, -1.360998680873579, -1.2463419007866505, -1.3609986808737085
B_STO-3G_DOUBLET_JW.json, 128, 0.4645951281109081, -24.189264917100353, -24.148988598853634, -24.188968038533226
H4_STO-3G_SINGLET_JW.json, 128, 0.9998434562361608, -1.8743019741837212, -1.333349777097312, -1.8743004147184257
HeH+_3-21G_SINGLET_JW.json, 128, 0.5014548296603412, -3.172816973577105, -2.8874377987654425, -3.1435696090770957
H4_STO-3G_SINGLET_BK.json, 128, 0.9998569484681304, -1.8743019741837161, -1.333349777097312, -1.8743005360489062
